model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_Rv2_finetuned,0,0,28,0,1.0,0.0,0.0,0.0,22310,0.9987465305757006,_temp0.0_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_Rv2_finetuned,0,0,27,0,1.0,0.0,0.0,0.0,22311,0.9987912973408541,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr2e-07_Rv2_finetuned,625,9488,78,9,0.06892156862745098,0.06180164145159695,0.9858044164037855,0.11631152879873452,12138,0.54337899543379,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr5e-05_Rv2_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,6723,552,0.9241237113402062,0.0,0.0,0.0,15063,0.6743217835079237,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_Rv2_finetuned,601,9246,79,11,0.06843111603099528,0.061033817406316644,0.9820261437908496,0.1149249450234248,12401,0.5551526546691736,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr5e-05_Rv2_finetuned,0,0,4083,375,0.9158815612382234,0.0,0.0,0.0,7826,0.6370888961250407,_temp0.0_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr5e-05_Rv2_finetuned,0,0,6516,529,0.9249112845990064,0.0,0.0,0.0,15293,0.6846181394932402,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr0.0001_Rv2_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,22338,1.0,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr2e-07_Rv2_finetuned,619,9351,82,7,0.06968883586837658,0.062086258776328986,0.9888178913738019,0.11683654209135523,12279,0.5496911093204405,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_Rv2_finetuned,102,0,19226,1520,0.9270913277052955,1.0,0.06288532675709001,0.11832946635730858,1490,0.06670248007878951,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,684,10,19021,944,0.9538215789728448,0.9855907780979827,0.4201474201474201,0.5891472868217055,1679,0.07516339869281045,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr2e-07_Rv2_finetuned,170,1456,3,0,0.10620012277470842,0.1045510455104551,1.0,0.1893095768374165,20709,0.9270749395648671,_temp0.0_top0.2
Qwen1.5-0.5B_full_ep10_lr2e-07_Rv2_finetuned,177,1434,2,0,0.11097334159950403,0.10986964618249534,1.0,0.19798657718120805,20725,0.9277912078073238,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr5e-05_Rv2_finetuned,908,1,19132,718,0.9653644202514572,0.9988998899889989,0.5584255842558425,0.7163708086785009,1579,0.07068672217745546,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr0.0001_Rv2_finetuned,0,0,3,0,1.0,0.0,0.0,0.0,22335,0.9998656997045393,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep1_lr2e-07_Rv2_finetuned,223,2075,1,0,0.09743366681165724,0.09704090513489991,1.0,0.17691392304641015,20039,0.8970812069119886,_temp0.0_top0.2
Qwen1.5-0.5B_full_ep1_lr5e-05_Rv2_finetuned,0,2,19604,1632,0.9230624352575572,0.0,0.0,0.0,1100,0.04924344166890501,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr0.0001_Rv2_finetuned,0,0,0,3,0.0,0.0,0.0,0.0,22335,0.9998656997045393,_temp0.0_top0.2
Qwen1.5-0.5B_full_ep5_lr0.0001_Rv2_finetuned,0,0,0,3,0.0,0.0,0.0,0.0,22335,0.9998656997045393,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr2e-07_Rv2_finetuned,167,1416,1,0,0.10606060606060606,0.10549589387239419,1.0,0.19085714285714286,20754,0.9290894439967768,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep5_lr5e-05_Rv2_finetuned,707,2,19153,895,0.9567856626680156,0.997179125528914,0.44132334581772786,0.6118563392470792,1581,0.07077625570776255,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr0.0001_Rv2_finetuned,960,250,16615,502,0.9589676433677089,0.7933884297520661,0.6566347469220246,0.7185628742514971,4011,0.17955949503088905,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr2e-07_Rv2_finetuned,753,11654,134,65,0.07036331905441853,0.0606915450955106,0.9205378973105135,0.11387523629489603,9732,0.43567015847434865,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep10_lr5e-05_Rv2_finetuned,128,58,13394,1031,0.925467113818356,0.6881720430107527,0.11044003451251079,0.19033457249070632,7727,0.34591279434148087,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr0.0001_Rv2_finetuned,0,1,15668,1310,0.9227869721420578,0.0,0.0,0.0,5359,0.23990509445787447,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr2e-07_Rv2_finetuned,65,897,12,1,0.07897435897435898,0.06756756756756757,0.9848484848484849,0.12645914396887162,736,0.43015780245470486,_temp0.0_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr2e-07_Rv2_finetuned,775,11555,146,61,0.07346255084948553,0.06285482562854826,0.9270334928229665,0.11772747987239861,9801,0.43875906526994357,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep1_lr5e-05_Rv2_finetuned,1,1,19294,1564,0.9249760306807286,0.5,0.0006389776357827476,0.001276324186343331,1478,0.0661652788969469,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr0.0001_Rv2_finetuned,0,0,5,0,1.0,0.0,0.0,0.0,22333,0.9997761661742323,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr2e-07_Rv2_finetuned,780,11607,147,63,0.07358894974994046,0.06296924194720271,0.9252669039145908,0.11791383219954649,9741,0.4360730593607306,_temp0.2_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,1049,32,17550,402,0.9771974990805443,0.9703977798334875,0.7229496898690558,0.8285939968404423,1851,0.08863244589159165,_temp0.0_top0.2
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,1115,33,18783,438,0.9768766262457657,0.9712543554006968,0.7179652285898261,0.8256201406886338,1969,0.08814576058733996,_temp0.2_top0.2
