model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr0.0001_Rv2_finetuned,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr2e-07_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep10_lr5e-05_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr2e-07_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep1_lr5e-05_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr0.0001_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr2e-07_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_full_ep5_lr5e-05_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B-Chat_non_finetuned,33,356,0,0,0.08483290488431877,0.08483290488431877,1.0,0.15639810426540285,16916,0.8633695707650691,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr0.0001_finetuned,1,8,0,0,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998,3022,0.9698331193838254,_temp0.2_top0.2
Qwen1.5-0.5B_full_ep10_lr2e-07_finetuned,1,8,0,0,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998,2782,0.9700139470013946,_temp0.2_top0.2
